,Unnamed: 0,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,right_ascension,declination
28,28,55 Cancri d,41,3.878 Jupiters,5.96,2002,Gas Giant,1.16 x Jupiter,5.503 AU,13.2 years,0.02,55 Cnc,Radial Velocity,90,08h52m35.81s,+28d19m50.9s
29,29,55 Cancri e,41,8.08 Earths,5.96,2004,Super Earth,1.91 x Earth,0.01544 AU,0.7 days,0.03,55 Cnc,Radial Velocity,83.3,08h52m35.81s,+28d19m50.9s
30,30,55 Cancri f,41,0.141 Jupiters,5.96,2007,Gas Giant,0.677 x Jupiter,0.788 AU,262 days,0.31,55 Cnc,Radial Velocity,90,08h52m35.81s,+28d19m50.9s
31,31,61 Virginis b,28,5.1 Earths,4.74,2009,Neptune-like,2.11 x Earth,0.050201 AU,4.2 days,0.12,6 Lyn,Radial Velocity,,06h30m47.11s,+58d09m45.5s
32,32,61 Virginis c,28,18.2 Earths,4.74,2009,Neptune-like,0.398 x Jupiter,0.2175 AU,38 days,0.14,61 Vir,Radial Velocity,,13h18m24.32s,-18d18m40.3s
33,33,61 Virginis d,28,22.9 Earths,4.74,2009,Neptune-like,0.456 x Jupiter,0.476 AU,123 days,0.35,61 Vir,Radial Velocity,,13h18m24.32s,-18d18m40.3s
35,35,70 Virginis b,58,7.49 Jupiters,4.97,1996,Gas Giant,1.13 x Jupiter,0.481 AU,116.7 days,0.4,7 CMa,Radial Velocity,90,06h36m41.04s,-19d15m21.2s
37,37,7 Canis Majoris b,65,1.85 Jupiters,3.92,2011,Gas Giant,1.2 x Jupiter,1.758 AU,2 years,0.06,70 Vir,Radial Velocity,,13h28m25.81s,+13d46m43.6s
38,38,7 Canis Majoris c,65,0.87 Jupiters,3.92,2019,Gas Giant,1.24 x Jupiter,2.153 AU,2.7 years,0.08,75 Cet,Radial Velocity,,02h32m09.42s,-01d02m05.6s
43,43,Alpha Arietis b,66,1.8 Jupiters,2,2010,Gas Giant,1.2 x Jupiter,1.2 AU,380.8 days,0.25,alf Ari,Radial Velocity,,02h07m10.41s,+23d27m44.7s
44,44,Alpha Tauri b,67,6.47 Jupiters,0.85,2015,Gas Giant,1.13 x Jupiter,1.46 AU,1.7 years,0.1,alf Tau,Radial Velocity,,04h35m55.24s,+16d30m33.5s
45,45,AU Microscopii b,32,0.18 Jupiters,8.81,2020,Gas Giant,0.375 x Jupiter,0.066 AU,8.5 days,0.1,AU Mic,Transit,,20h45m09.53s,-31d20m27.2s
47,47,BD-06 1339 b,66,8.5 Earths,9.7,2013,Neptune-like,0.254 x Jupiter,0.0428 AU,3.9 days,0,BD+14 4559,Radial Velocity,,21h13m35.99s,+14d41m21.8s
48,48,BD-06 1339 c,66,0.17 Jupiters,9.7,2013,Gas Giant,0.747 x Jupiter,0.435 AU,125.9 days,0.31,BD+15 2375,Radial Velocity,,11h45m55.72s,+14d36m59.0s
52,52,BD-11 4672 b,89,0.65 Jupiters,9.99,2014,Gas Giant,1.25 x Jupiter,2.36 AU,4.5 years,0.05,BD+20 274,Radial Velocity,,01h43m40.88s,+21d00m19.1s
53,53,BD-11 4672 c,89,15.37 Earths,9.99,2020,Neptune-like,0.36 x Jupiter,0.3 AU,74.2 days,0.4,BD+20 594,Transit,89.55,03h34m36.23s,+20d35m57.2s
67,67,Beta Pictoris b,64,11 Jupiters,3.85,2008,Gas Giant,1.65 x Jupiter,9.1 AU,21 years,0.08,bet Pic,Imaging,88.9,05h47m17.09s,-51d03m59.4s
68,68,Beta Pictoris c,64,9 Jupiters,3.85,2019,Gas Giant,1.12 x Jupiter,2.7 AU,3.3 years,0.24,bet Pic,Radial Velocity,90,05h47m17.09s,-51d03m59.4s
70,70,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011,Gas Giant,1.11 x Jupiter,2.6 AU,27.5 years,0,CFBDSIR J145829+101343,Imaging,,14h58m29.00s,+10d13m43.0s
109,109,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.558,2013,Gas Giant,1.06 x Jupiter,0.36 AU,246.4 days,0.35,DENIS-P J082303.1-491201,Astrometry,56.6,08h23m03.13s,-49d12m01.3s
148,148,Epsilon Eridani b,11,0.78 Jupiters,3.82,2000,Gas Giant,1.24 x Jupiter,3.39 AU,7.4 years,0.07,eps Eri,Radial Velocity,89,03h32m55.84s,-09d27m29.7s
149,149,Epsilon Indi A b,12,3.25 Jupiters,4.69,2019,Gas Giant,1.17 x Jupiter,11.55 AU,45.2 years,0.26,eps Ind A,Radial Velocity,64.25,22h03m21.66s,-56d47m09.5s
152,152,G 9-40 b,91,4.76 Earths,13.823,2019,Super Earth,2.025 x Earth,0.0385 AU,5.7 days,0,G 9-40,Transit,88.57,08h58m52.35s,+21d04m33.8s
154,154,Gamma Cephei b,44,1.85 Jupiters,3.21,2003,Gas Giant,1.2 x Jupiter,2.05 AU,2.5 years,0.05,gam Cep,Radial Velocity,,23h39m20.85s,+77d37m56.2s
157,157,GJ 1061 b,12,1.37 Earths,13.06,2020,Super Earth,1.1 x Earth,0.021 AU,3.2 days,< 0.31,GJ 1061,Radial Velocity,,03h35m59.72s,-44d30m45.5s
158,158,GJ 1061 c,12,1.74 Earths,13.06,2020,Super Earth,1.18 x Earth,0.035 AU,6.7 days,< 0.29,GJ 1061,Radial Velocity,,03h35m59.72s,-44d30m45.5s
159,159,GJ 1061 d,12,1.64 Earths,13.06,2020,Super Earth,1.16 x Earth,0.054 AU,13 days,< 0.53,GJ 1061,Radial Velocity,,03h35m59.72s,-44d30m45.5s
160,160,GJ 1132 b,41,1.66 Earths,13.49,2015,Super Earth,1.13 x Earth,0.0153 AU,1.6 days,0.22,GJ 1132,Transit,,10h14m51.78s,-47d09m24.2s
161,161,GJ 1132 c,41,2.64 Earths,13.49,2018,Super Earth,1.43 x Earth,0.0476 AU,8.9 days,< 0.27,GJ 1132,Radial Velocity,,10h14m51.78s,-47d09m24.2s
162,162,GJ 1148 b,36,0.30425 Jupiters,11.92,2010,Gas Giant,1.07 x Jupiter,0.166 AU,41.4 days,0.38,GJ 1148,Radial Velocity,,11h41m44.63s,+42d45m07.1s
